name,country,calories,fat,carbs,protein,avg_rating,prep_time,cook_time,total_time,servings,pct_fat,pct_carbs,pct_protein
Saganaki (Flaming Greek Cheese),Greek,391.0,25.0,15.0,16.0,4.8,10,5,15,2.0,0.5754475703324808,0.1534526854219949,0.1636828644501279
Coney Island Knishes,Jewish,301.0,17.0,31.0,7.0,4.6,30,75,180,16.0,0.5083056478405316,0.4119601328903654,0.09302325581395349
Diana's Hawaiian Bread Rolls,Australian and New Zealander,64.0,3.0,9.0,1.0,4.3,20,15,180,12.0,0.421875,0.5625,0.0625
Chilean Pebre,Chilean,106.0,9.0,7.0,1.0,5.0,10,0,10,6.0,0.7641509433962265,0.2641509433962264,0.03773584905660377
Tex-Mex Sheet Cake,Tex-Mex,449.0,23.0,58.0,7.0,3.8,30,15,45,15.0,0.4610244988864143,0.5167037861915368,0.062360801781737196
Lemon Poppy Seed Amish Friendship Bread,Amish and Mennonite,157.0,6.0,25.0,2.0,4.6,0,0,0,24.0,0.34394904458598724,0.6369426751592356,0.050955414012738856
Pan con Tomate (Spanish Tomato Bread),Spanish,322.0,16.0,39.0,7.0,5.0,5,5,10,1.0,0.4472049689440994,0.484472049689441,0.08695652173913043
"Lomo de Res, Cuban-Style Rib-Eye Steaks",Cuban,389.0,21.0,16.0,28.0,4.4,10,10,50,4.0,0.48586118251928023,0.16452442159383032,0.2879177377892031
Peruvian Chicha Morada Drink,Peruvian,253.0,2.0,63.0,6.0,4.7,10,50,300,10.0,0.07114624505928854,0.9960474308300395,0.09486166007905138
Moo Shu Pork,Chinese,355.0,8.0,53.0,17.0,4.6,15,15,60,8.0,0.2028169014084507,0.5971830985915493,0.19154929577464788
Filipino Lumpia,Filipino,550.0,31.0,43.0,25.0,4.3,60,10,70,6.0,0.5072727272727273,0.31272727272727274,0.18181818181818182
Eggnog Bread Pudding with Coquito Sauce,Puerto Rican,389.0,19.0,49.0,7.0,5.0,10,45,55,10.0,0.43958868894601544,0.5038560411311054,0.07197943444730077
Chicken with Black Beans,Malaysian,231.0,7.0,13.0,29.0,4.3,25,20,55,6.0,0.2727272727272727,0.22510822510822512,0.5021645021645021
Creole Okra,Soul Food,133.0,7.0,14.0,4.0,4.5,10,30,40,4.0,0.47368421052631576,0.42105263157894735,0.12030075187969924
Victor's Non-Dairy Hawaiian Coconut Mochi Cake,Australian and New Zealander,518.0,18.0,86.0,6.0,5.0,10,60,70,12.0,0.3127413127413127,0.6640926640926641,0.04633204633204633
Bistec Encebollado (Cuban Steak and Onions),Cuban,383.0,20.0,13.0,36.0,5.0,10,25,95,4.0,0.4699738903394256,0.13577023498694518,0.37597911227154046
Swedish Hard Tack,Scandinavian,196.0,8.0,27.0,4.0,3.5,30,30,60,12.0,0.3673469387755102,0.5510204081632653,0.08163265306122448
Portuguese Steamed Clams,Portuguese,697.0,53.0,9.0,30.0,4.6,30,20,50,6.0,0.6843615494978479,0.05164992826398852,0.17216642754662842
Israeli Charoset,Israeli,185.0,8.0,29.0,3.0,5.0,15,0,15,10.0,0.3891891891891892,0.6270270270270271,0.06486486486486487
Spicy Potato Noodles (Bataka Sev),Bangladeshi,336.0,18.0,35.0,9.0,4.7,45,40,85,8.0,0.48214285714285715,0.4166666666666667,0.10714285714285714
Double Chocolate Biscotti with Cherries,Italian,152.0,6.0,21.0,3.0,3.3,10,0,80,24.0,0.35526315789473684,0.5526315789473685,0.07894736842105263
Cherry Amish Friendship Bread Cupcakes with Buttercream Frosting,Amish and Mennonite,366.0,20.0,46.0,3.0,4.0,20,20,70,24.0,0.4918032786885246,0.5027322404371585,0.03278688524590164
Beef Pirozhki,Russian,293.0,16.0,22.0,14.0,4.8,45,25,150,15.0,0.49146757679180886,0.3003412969283277,0.19112627986348124
Pique (Puerto Rican Hot Sauce),Puerto Rican,52.0,2.0,7.0,1.0,5.0,15,5,25,16.0,0.34615384615384615,0.5384615384615384,0.07692307692307693
Original Kumla Recipe from Mom,Norwegian,378.0,11.0,37.0,31.0,4.6,60,75,135,25.0,0.2619047619047619,0.3915343915343915,0.328042328042328
Grandma's Authentic Swedish Meatballs,Swedish,437.0,28.0,22.0,23.0,4.3,20,40,60,6.0,0.5766590389016019,0.20137299771167047,0.21052631578947367
Finnish Turnip Casserole,Finnish,176.0,8.0,23.0,4.0,4.5,30,65,95,6.0,0.4090909090909091,0.5227272727272727,0.09090909090909091
Chicharrones de Pollo,Cuban,362.0,12.0,23.0,29.0,4.0,20,20,160,6.0,0.2983425414364641,0.2541436464088398,0.32044198895027626
Carrot Halwa,Indian,288.0,15.0,34.0,7.0,5.0,30,75,105,12.0,0.46875,0.4722222222222222,0.09722222222222222
Amish Blackberry and Strawberry Baked Oatmeal,Amish and Mennonite,337.0,15.0,48.0,4.0,4.4,10,30,40,12.0,0.40059347181008903,0.56973293768546,0.04747774480712166
Ono Butter Mochi,Australian and New Zealander,463.0,14.0,78.0,7.0,4.7,5,60,65,12.0,0.27213822894168466,0.673866090712743,0.06047516198704104
Porotos Granados (Chilean Bean Stew),Chilean,285.0,4.0,53.0,14.0,4.3,15,45,60,6.0,0.12631578947368421,0.743859649122807,0.19649122807017544
Real Homemade Bagels,Jewish,278.0,7.0,56.0,2.0,4.4,30,20,200,6.0,0.22661870503597123,0.8057553956834532,0.02877697841726619
Easy Blini (Russian Pancake),Russian,167.0,7.0,21.0,5.0,4.9,10,15,25,5.0,0.3772455089820359,0.5029940119760479,0.11976047904191617
Traditional Swedish Pancakes,Swedish,314.0,12.0,36.0,14.0,4.7,10,5,15,4.0,0.34394904458598724,0.4585987261146497,0.17834394904458598
Authentic Chinese Egg Rolls (from a Chinese person),Chinese,169.0,7.0,16.0,10.0,4.7,60,30,150,20.0,0.3727810650887574,0.378698224852071,0.23668639053254437
Brazilian Grilled Pineapple,Brazilian,255.0,0.0,66.0,1.0,4.9,10,10,20,6.0,0.0,1.035294117647059,0.01568627450980392
Toum,Lebanese,87.0,9.0,3.0,0.0,4.5,10,0,10,6.0,0.9310344827586207,0.13793103448275862,0.0
Virgin Strawberry Daiquiri,Cuban,287.0,0.0,74.0,0.0,4.3,5,0,5,1.0,0.0,1.0313588850174216,0.0
Best Matzo Balls,Jewish,106.0,6.0,10.0,3.0,4.7,20,25,75,16.0,0.5094339622641509,0.37735849056603776,0.11320754716981132
Panettone,Italian,153.0,6.0,23.0,3.0,4.9,20,40,240,36.0,0.35294117647058826,0.6013071895424836,0.0784313725490196
Pollo Saltado (Peruvian-Style Chicken Stir-Fry),Peruvian,351.0,11.0,37.0,27.0,3.0,20,20,55,4.0,0.28205128205128205,0.42165242165242167,0.3076923076923077
Citrus Ceviche,Peruvian,440.0,29.0,17.0,30.0,4.1,25,15,160,4.0,0.5931818181818181,0.15454545454545454,0.2727272727272727
Ajiaco (Beef and Pepper Stew),Chilean,579.0,24.0,34.0,54.0,4.2,25,35,60,4.0,0.37305699481865284,0.23488773747841105,0.37305699481865284
Butter Mochi Cupcakes,Australian and New Zealander,208.0,10.0,28.0,4.0,5.0,10,35,65,12.0,0.4326923076923077,0.5384615384615384,0.07692307692307693
Canelés de Bordeaux,French,193.0,7.0,27.0,3.0,4.5,20,70,95,12.0,0.32642487046632124,0.5595854922279793,0.06217616580310881
Sausage and Sauerkraut,German,777.0,62.0,29.0,25.0,4.7,15,200,215,5.0,0.7181467181467182,0.1492921492921493,0.1287001287001287
Chicken Ropa Vieja,Cuban,291.0,11.0,11.0,35.0,4.1,40,45,85,4.0,0.3402061855670103,0.15120274914089346,0.48109965635738833
Brazilian Whole Banana Pie,Brazilian,451.0,11.0,83.0,11.0,4.1,20,45,65,12.0,0.21951219512195122,0.7361419068736141,0.0975609756097561
Chilean Empanada,Chilean,530.0,28.0,54.0,16.0,4.2,20,40,70,12.0,0.47547169811320755,0.4075471698113208,0.12075471698113208
Copycat Panda Express Chow Mein,Chinese,492.0,36.0,35.0,8.0,5.0,5,6,11,4.0,0.6585365853658537,0.2845528455284553,0.06504065040650407
Classic Chicken Cordon Bleu,French,584.0,41.0,8.0,42.0,4.8,20,40,60,6.0,0.6318493150684932,0.0547945205479452,0.2876712328767123
Halloumi Cheese Fingers,Greek,299.0,25.0,3.0,18.0,4.7,5,5,10,2.0,0.7525083612040134,0.04013377926421405,0.2408026755852843
Easy and Quick Halushki,Polish,698.0,38.0,69.0,22.0,4.6,10,20,30,6.0,0.4899713467048711,0.3954154727793696,0.12607449856733524
Chicken Makhani (Indian Butter Chicken),Indian,408.0,28.0,16.0,23.0,4.5,10,25,35,4.0,0.6176470588235294,0.1568627450980392,0.22549019607843138
Cha Gio Vietnamese Egg Rolls,Vietnamese,228.0,14.0,14.0,12.0,4.6,45,5,65,12.0,0.5526315789473685,0.24561403508771928,0.21052631578947367
Cretons,Canadian,101.0,6.0,4.0,8.0,4.3,10,70,80,12.0,0.5346534653465347,0.15841584158415842,0.31683168316831684
Zucchini Scarpaccia,Italian,137.0,7.0,13.0,5.0,4.0,30,40,90,12.0,0.45985401459854014,0.3795620437956204,0.145985401459854
Portuguese Soup,Portuguese,537.0,20.0,73.0,21.0,4.0,20,90,110,8.0,0.33519553072625696,0.5437616387337058,0.1564245810055866
Brazilian Cheese Rolls (Pão de Queijo),Brazilian,199.0,12.0,17.0,6.0,4.7,20,15,50,14.0,0.542713567839196,0.3417085427135678,0.12060301507537688
Pastry Cream,French,151.0,6.0,21.0,4.0,4.8,15,10,25,8.0,0.3576158940397351,0.5562913907284768,0.10596026490066225
Andouille and Poblano Quesadillas,Tex-Mex,598.0,36.0,48.0,22.0,4.7,15,25,40,4.0,0.5418060200668896,0.3210702341137124,0.14715719063545152
Down-South Style Green Beans,Soul Food,152.0,11.0,6.0,7.0,4.4,60,120,180,6.0,0.6513157894736842,0.15789473684210525,0.18421052631578946
Fried Sweet Bananas,Brazilian,169.0,6.0,31.0,1.0,4.4,10,5,15,6.0,0.31952662721893493,0.7337278106508875,0.023668639053254437
Saltado de Vainitas (Peruvian Green Beans with Chicken),Peruvian,189.0,5.0,14.0,22.0,4.3,15,25,40,6.0,0.23809523809523808,0.2962962962962963,0.4656084656084656
Alfajores Argentinean Style,Argentinian,157.0,7.0,23.0,1.0,4.4,30,10,80,36.0,0.4012738853503185,0.5859872611464968,0.025477707006369428
Loaded Beef Nachos,Tex-Mex,817.0,46.0,56.0,48.0,4.7,5,10,15,4.0,0.5067319461444308,0.2741738066095471,0.2350061199510404
Aji (Colombian Salsa),Colombian,52.0,4.0,5.0,1.0,4.5,30,0,30,8.0,0.6923076923076923,0.38461538461538464,0.07692307692307693
Honey Walnut Shrimp,Chinese,605.0,26.0,68.0,26.0,4.7,15,20,35,4.0,0.3867768595041322,0.44958677685950416,0.171900826446281
Thai Pineapple Chicken Curry,Thai,623.0,35.0,78.0,20.0,4.5,15,35,50,6.0,0.5056179775280899,0.5008025682182986,0.12841091492776885
Tortilla de Patatas,Spanish,439.0,40.0,15.0,5.0,5.0,20,20,45,12.0,0.8200455580865603,0.1366742596810934,0.04555808656036447
Yabluchnyk (Ukrainian Apple Cake),Russian,264.0,13.0,37.0,3.0,4.5,15,25,40,12.0,0.4431818181818182,0.5606060606060606,0.045454545454545456
Chicken Shawarma,Lebanese,402.0,15.0,44.0,23.0,4.3,10,40,290,8.0,0.3358208955223881,0.43781094527363185,0.22885572139303484
Branzino Mediterranean,Greek,380.0,13.0,7.0,53.0,4.8,15,25,40,4.0,0.3078947368421053,0.07368421052631578,0.5578947368421052
Coxinhas (Brazilian Chicken Croquettes),Brazilian,167.0,8.0,19.0,5.0,4.0,60,60,120,20.0,0.4311377245508982,0.4550898203592814,0.11976047904191617
Durian Puree Cheesecake,Malaysian,448.0,29.0,40.0,9.0,4.8,15,60,75,8.0,0.5825892857142857,0.35714285714285715,0.08035714285714286
Grandma's Polish Perogies,Polish,281.0,11.0,38.0,8.0,4.7,60,40,100,20.0,0.35231316725978645,0.5409252669039146,0.11387900355871886
Sesame Jellyfish Salad,Canadian,148.0,14.0,3.0,5.0,5.0,10,5,30,4.0,0.8513513513513513,0.08108108108108109,0.13513513513513514
Brazilian Passion Fruit Mousse (Maracuja),Brazilian,515.0,35.0,45.0,7.0,4.3,15,60,75,6.0,0.6116504854368932,0.34951456310679613,0.05436893203883495
Brazilian White Rice,Brazilian,201.0,4.0,38.0,3.0,4.4,15,30,45,8.0,0.1791044776119403,0.7562189054726368,0.05970149253731343
Cajun Shrimp and Sausage Pasta Bake,Cajun and Creole,635.0,39.0,35.0,35.0,5.0,15,45,60,4.0,0.552755905511811,0.2204724409448819,0.2204724409448819
Best Hawaiian Banana Nut Bread,Australian and New Zealander,441.0,24.0,54.0,5.0,4.6,30,70,130,12.0,0.4897959183673469,0.4897959183673469,0.045351473922902494
Lyonnaise Potatoes,French,325.0,20.0,35.0,4.0,4.1,30,25,55,6.0,0.5538461538461539,0.4307692307692308,0.04923076923076923
Kibby (Kibby-Bel-Saneeya),Lebanese,439.0,26.0,27.0,28.0,4.8,10,30,65,4.0,0.5330296127562643,0.2460136674259681,0.255125284738041
Beef Samosas,Bangladeshi,258.0,15.0,24.0,8.0,4.6,30,30,120,18.0,0.5232558139534884,0.37209302325581395,0.12403100775193798
Israeli Tomato and Cucumber Salad,Israeli,208.0,18.0,11.0,2.0,4.4,20,0,20,6.0,0.7788461538461539,0.21153846153846154,0.038461538461538464
Elk Steak Marinade,Canadian,259.0,13.0,3.0,33.0,4.9,5,10,255,4.0,0.4517374517374517,0.04633204633204633,0.5096525096525096
Swedish Saffron Buns,Swedish,169.0,4.0,29.0,4.0,4.7,15,10,115,35.0,0.21301775147928995,0.6863905325443787,0.09467455621301775
Turkey Kofta Kebabs,Persian,65.0,3.0,1.0,8.0,4.8,15,25,40,12.0,0.4153846153846154,0.06153846153846154,0.49230769230769234
Racuchy z Jablkami (Polish Apple Pancakes),Polish,416.0,7.0,76.0,14.0,4.4,15,5,20,4.0,0.15144230769230768,0.7307692307692307,0.1346153846153846
Haldi Ka Doodh (Hot Turmeric Milk),Indian,154.0,5.0,19.0,8.0,4.8,5,10,15,1.0,0.2922077922077922,0.4935064935064935,0.2077922077922078
Masht-o Khiyaar (Persian Cucumber Salad with Sultanas and Walnuts),Persian,59.0,3.0,9.0,1.0,4.5,10,0,90,4.0,0.4576271186440678,0.6101694915254238,0.06779661016949153
Pork Pie,Canadian,712.0,51.0,28.0,33.0,4.2,15,50,65,8.0,0.6446629213483146,0.15730337078651685,0.1853932584269663
Fastelavnsboller (Fastelavn Buns),Danish,214.0,7.0,31.0,6.0,4.0,60,15,105,18.0,0.29439252336448596,0.5794392523364486,0.11214953271028037
Instant Pot Filipino Chicken Adobo,Filipino,352.0,21.0,9.0,30.0,4.8,5,30,40,4.0,0.5369318181818182,0.10227272727272728,0.3409090909090909
Finnish Pancakes,Finnish,176.0,10.0,15.0,7.0,4.7,10,5,15,4.0,0.5113636363636364,0.3409090909090909,0.1590909090909091
Margareta's Cardamom Cake,Swedish,410.0,20.0,55.0,5.0,5.0,10,60,80,10.0,0.43902439024390244,0.5365853658536586,0.04878048780487805
Spicy Thai Basil Chicken (Pad Krapow Gai),Thai,715.0,30.0,59.0,50.0,4.8,15,10,25,2.0,0.3776223776223776,0.3300699300699301,0.27972027972027974
Vietnamese Sandwich,Vietnamese,627.0,12.0,72.0,55.0,4.5,10,5,15,4.0,0.1722488038277512,0.45933014354066987,0.3508771929824561
Nada's Baba Cake,Australian and New Zealander,208.0,5.0,37.0,4.0,3.8,30,60,90,12.0,0.21634615384615385,0.7115384615384616,0.07692307692307693
"Spicy Indian Green Beans, Gujarati Style",Indian,171.0,14.0,11.0,3.0,4.4,15,20,35,4.0,0.7368421052631579,0.2573099415204678,0.07017543859649122
Lebanese Zaatar (Za'atar) Bread,Lebanese,266.0,17.0,26.0,4.0,4.0,30,25,55,40.0,0.575187969924812,0.39097744360902253,0.06015037593984962
Lebanese Bean Salad,Lebanese,312.0,9.0,45.0,13.0,4.7,10,0,130,5.0,0.25961538461538464,0.5769230769230769,0.16666666666666666
Cioccolata Calda (Hot Chocolate Italian-Style),Italian,169.0,5.0,27.0,8.0,4.4,5,15,20,2.0,0.26627218934911245,0.6390532544378699,0.1893491124260355
Empanadas Fritas de Queso,Chilean,343.0,14.0,39.0,15.0,3.3,20,20,55,8.0,0.3673469387755102,0.45481049562682213,0.1749271137026239
Crispy Ginger Beef,Canadian,364.0,14.0,45.0,15.0,4.6,25,20,45,5.0,0.34615384615384615,0.4945054945054945,0.16483516483516483
Yummy Matzo Rolls,Israeli,480.0,33.0,35.0,15.0,4.0,15,40,85,4.0,0.61875,0.2916666666666667,0.125
Swedish Meatballs I,Scandinavian,662.0,48.0,26.0,31.0,4.1,25,60,85,4.0,0.6525679758308157,0.15709969788519637,0.18731117824773413
Easy Polish Noodles,Polish,310.0,4.0,55.0,12.0,4.9,5,35,40,6.0,0.11612903225806452,0.7096774193548387,0.15483870967741936
Tex-Mex Burger with Cajun Mayo,Tex-Mex,714.0,49.0,29.0,38.0,4.6,25,15,40,4.0,0.6176470588235294,0.16246498599439776,0.21288515406162464
Shrimp and Cheesy Grits with Bacon,Soul Food,446.0,24.0,17.0,39.0,4.6,30,30,60,4.0,0.484304932735426,0.15246636771300448,0.34977578475336324
Restaurant Style Egg Drop Soup,Chinese,76.0,4.0,4.0,5.0,4.5,10,10,20,4.0,0.47368421052631576,0.21052631578947367,0.2631578947368421
Fricase de Pollo,Cuban,454.0,27.0,7.0,43.0,4.4,25,15,60,3.0,0.5352422907488987,0.06167400881057269,0.3788546255506608
Cuban Goulash,Cuban,197.0,6.0,27.0,11.0,4.1,20,40,60,6.0,0.27411167512690354,0.5482233502538071,0.2233502538071066
Lolah's Chicken Adobo,Filipino,265.0,12.0,3.0,35.0,4.7,10,70,80,8.0,0.4075471698113208,0.045283018867924525,0.5283018867924528
Rich and Simple French Onion Soup,French,586.0,44.0,28.0,21.0,4.6,15,40,55,4.0,0.6757679180887372,0.19112627986348124,0.14334470989761092
Pastel de Papas (Chilean Potato Pie),Chilean,366.0,25.0,22.0,14.0,4.2,35,65,110,8.0,0.6147540983606558,0.24043715846994534,0.15300546448087432
Stewed Okra with Tomatoes,Soul Food,66.0,1.0,13.0,3.0,4.6,10,20,30,6.0,0.13636363636363635,0.7878787878787878,0.18181818181818182
Air Fryer Samosas,Indian,141.0,3.0,20.0,7.0,1.0,25,25,50,12.0,0.19148936170212766,0.5673758865248227,0.19858156028368795
Roasted Greek Lemon Potatoes,Greek,282.0,12.0,40.0,5.0,4.8,15,60,75,6.0,0.3829787234042553,0.5673758865248227,0.07092198581560284
Jewish Coffee Cake,Jewish,364.0,21.0,40.0,5.0,4.6,0,0,0,12.0,0.5192307692307693,0.43956043956043955,0.054945054945054944
Baked Sweet And Sour Chicken,Chinese,823.0,30.0,88.0,53.0,3.5,20,30,50,4.0,0.32806804374240583,0.42770352369380316,0.25759416767922233
Russian Tea Cakes,Russian,101.0,7.0,8.0,1.0,4.7,20,15,50,36.0,0.6237623762376238,0.31683168316831684,0.039603960396039604
Manti (Turkish 'Ravioli' with Yogurt Sauce),Turkish,293.0,17.0,27.0,9.0,3.9,10,10,20,4.0,0.5221843003412969,0.36860068259385664,0.12286689419795221
Perogies,Polish,376.0,20.0,40.0,11.0,4.1,45,5,50,16.0,0.4787234042553192,0.425531914893617,0.11702127659574468
Curried Coconut Chicken,Thai,375.0,21.0,17.0,32.0,4.5,20,40,60,6.0,0.504,0.18133333333333335,0.3413333333333333
Jay's Jerk Chicken,Jamaican,385.0,18.0,15.0,39.0,4.7,20,10,270,4.0,0.42077922077922075,0.15584415584415584,0.4051948051948052
Peruvian Pickled Onions (Salsa Criolla),Peruvian,71.0,2.0,13.0,2.0,4.5,30,0,70,4.0,0.2535211267605634,0.7323943661971831,0.11267605633802817
Jamaican Beef Patties,Jamaican,367.0,21.0,27.0,17.0,4.5,30,40,70,10.0,0.5149863760217984,0.29427792915531337,0.18528610354223432
Faworki (Polish Chrusciki),Polish,126.0,5.0,17.0,3.0,3.7,20,2,22,20.0,0.35714285714285715,0.5396825396825397,0.09523809523809523
Cherry Tomato Pasta Sauce,Italian,475.0,12.0,76.0,18.0,4.8,15,10,30,4.0,0.22736842105263158,0.64,0.15157894736842106
Chicken Saag,Indian,450.0,26.0,18.0,39.0,4.5,30,75,105,6.0,0.52,0.16,0.3466666666666667
Baked Falafel,Jewish,281.0,9.0,39.0,11.0,4.4,20,20,55,2.0,0.28825622775800713,0.5551601423487544,0.15658362989323843
Italian Ricotta Cookie Bars,Italian,213.0,9.0,29.0,4.0,4.3,15,30,75,16.0,0.38028169014084506,0.5446009389671361,0.07511737089201878
Joel's Jerk Chicken Pineapple Pasta,Jamaican,628.0,20.0,79.0,35.0,4.3,15,25,40,2.0,0.28662420382165604,0.5031847133757962,0.2229299363057325
Finnish Pannu Kakku,Finnish,437.0,22.0,53.0,9.0,4.5,5,20,30,6.0,0.45308924485125857,0.4851258581235698,0.08237986270022883
Lubia Polo (Green Bean Rice),Persian,676.0,29.0,85.0,22.0,4.0,20,70,90,6.0,0.386094674556213,0.5029585798816568,0.1301775147928994
Peruvian Arroz con Pollo (Peruvian Rice and Chicken),Peruvian,501.0,21.0,60.0,19.0,4.5,15,80,95,6.0,0.3772455089820359,0.47904191616766467,0.15169660678642716
Bread Machine Challah I,Jewish,184.0,4.0,30.0,6.0,4.7,5,180,185,12.0,0.1956521739130435,0.6521739130434783,0.13043478260869565
Nanaimo Bars I,Canadian,389.0,23.0,47.0,4.0,4.7,0,0,0,12.0,0.532133676092545,0.4832904884318766,0.04113110539845758
Cuban Banana Casserole,Cuban,312.0,17.0,42.0,2.0,4.1,10,30,45,8.0,0.49038461538461536,0.5384615384615384,0.02564102564102564
Sopa de Mariscos (Seafood Soup),Tex-Mex,278.0,10.0,16.0,33.0,5.0,30,65,95,10.0,0.3237410071942446,0.2302158273381295,0.4748201438848921
Cajun Pastalaya,Cajun and Creole,640.0,32.0,54.0,37.0,5.0,15,45,60,8.0,0.45,0.3375,0.23125
Vegetarian Banh Mi Bowls,Vietnamese,614.0,27.0,81.0,12.0,4.4,10,30,40,4.0,0.3957654723127036,0.5276872964169381,0.0781758957654723
Leche Asada,Chilean,258.0,9.0,25.0,10.0,3.6,15,50,65,6.0,0.313953488372093,0.3875968992248062,0.15503875968992248
Vegan Sweet Potato Chickpea Curry,Indian,293.0,22.0,22.0,5.0,4.7,10,20,30,6.0,0.6757679180887372,0.3003412969283277,0.06825938566552901
Authentic Vietnamese Spring Rolls (Nem Ran Hay Cha Gio),Vietnamese,132.0,5.0,14.0,7.0,4.8,60,5,85,12.0,0.3409090909090909,0.42424242424242425,0.21212121212121213
Polish Gołąbki (Stuffed Cabbage Rolls),Polish,311.0,14.0,27.0,20.0,4.1,30,135,165,20.0,0.40514469453376206,0.34726688102893893,0.2572347266881029
Mexican Lasagna Lite,Tex-Mex,468.0,12.0,50.0,40.0,4.4,25,35,60,6.0,0.23076923076923078,0.42735042735042733,0.3418803418803419
The Best Pavlova,Australian and New Zealander,186.0,9.0,25.0,2.0,4.7,25,60,115,12.0,0.43548387096774194,0.5376344086021505,0.043010752688172046
No Ordinary Meatloaf,Tex-Mex,392.0,19.0,30.0,26.0,4.4,20,45,70,8.0,0.4362244897959184,0.30612244897959184,0.2653061224489796
Goi Ga (Vietnamese Chicken and Cabbage Salad),Vietnamese,167.0,6.0,17.0,14.0,5.0,20,0,140,8.0,0.32335329341317365,0.40718562874251496,0.33532934131736525
Duck a l'Orange,French,354.0,21.0,15.0,20.0,4.8,15,20,50,2.0,0.5338983050847458,0.1694915254237288,0.22598870056497175
Easy Swedish Pancakes,Scandinavian,252.0,13.0,21.0,12.0,4.2,10,10,20,4.0,0.4642857142857143,0.3333333333333333,0.19047619047619047
"Chicken French (Rochester, NY Style)",French,405.0,23.0,15.0,33.0,4.8,15,15,30,4.0,0.5111111111111111,0.14814814814814814,0.32592592592592595
Turkish Doner Kebab,Turkish,284.0,19.0,2.0,24.0,5.0,10,80,100,4.0,0.602112676056338,0.028169014084507043,0.3380281690140845
Chicken Souvlaki with Tzatziki Sauce,Greek,268.0,17.0,3.0,26.0,4.7,15,15,150,6.0,0.5708955223880597,0.04477611940298507,0.3880597014925373
Naan,Indian,52.0,4.0,4.0,1.0,4.7,30,20,150,14.0,0.6923076923076923,0.3076923076923077,0.07692307692307693
Nova Scotian Hodge Podge,Canadian,241.0,19.0,17.0,3.0,4.4,25,70,95,6.0,0.7095435684647303,0.2821576763485477,0.04979253112033195
Cajun Chicken and Sausage Gumbo,Cajun and Creole,879.0,55.0,53.0,45.0,4.8,15,160,175,8.0,0.5631399317406144,0.24118316268486917,0.20477815699658702
Easy Bulgogi (Korean BBQ Beef),Korean,226.0,10.0,11.0,21.0,4.8,10,5,75,6.0,0.39823008849557523,0.19469026548672566,0.37168141592920356
Louisiana Crawfish Étouffée,Southern Recipes,636.0,25.0,83.0,19.0,4.7,15,15,30,6.0,0.35377358490566035,0.5220125786163522,0.11949685534591195
Schnitzel,German,677.0,31.0,60.0,38.0,4.1,10,60,70,4.0,0.4121122599704579,0.35450516986706054,0.22451994091580502
Finnish-American Flatbread,Finnish,404.0,4.0,78.0,13.0,5.0,10,20,135,12.0,0.0891089108910891,0.7722772277227723,0.12871287128712872
Chef John's Mulligatawny Soup,Indian,263.0,9.0,29.0,18.0,4.9,30,70,100,6.0,0.30798479087452474,0.44106463878326996,0.2737642585551331
Japanese-Style Sesame Green Beans,Japanese,97.0,7.0,9.0,3.0,4.5,5,15,20,4.0,0.6494845360824743,0.3711340206185567,0.12371134020618557
Gochujang-Sauced Air Fryer Cauliflower Bites,Korean,149.0,4.0,29.0,3.0,5.0,15,10,25,8.0,0.24161073825503357,0.7785234899328859,0.08053691275167785
Chimichurri Sauce,Argentinian,133.0,14.0,1.0,0.0,4.5,5,0,5,12.0,0.9473684210526315,0.03007518796992481,0.0
Chinese Hand-Pulled Noodles in Beef Broth,Chinese,671.0,15.0,101.0,29.0,5.0,30,165,235,8.0,0.20119225037257824,0.6020864381520119,0.17287630402384502
Bannock,Canadian,149.0,4.0,25.0,3.0,4.4,10,30,40,12.0,0.24161073825503357,0.6711409395973155,0.08053691275167785
Curried Israeli Couscous,Israeli,174.0,4.0,30.0,5.0,4.0,5,15,20,8.0,0.20689655172413793,0.6896551724137931,0.11494252873563218
Bill's Peruvian Chicken and Rice,Peruvian,402.0,12.0,51.0,23.0,4.5,20,78,98,4.0,0.26865671641791045,0.5074626865671642,0.22885572139303484
Hawaiian Banana Nut Bread,Australian and New Zealander,234.0,11.0,32.0,3.0,4.7,10,60,80,30.0,0.4230769230769231,0.5470085470085471,0.05128205128205128
Pork Dumplings,Chinese,752.0,29.0,81.0,39.0,4.7,45,15,60,10.0,0.3470744680851064,0.4308510638297872,0.2074468085106383
Easy Russian Mushroom Bake,Russian,415.0,36.0,10.0,15.0,4.4,10,25,35,4.0,0.7807228915662651,0.0963855421686747,0.14457831325301204
Polish Cherry Cake,Polish,313.0,14.0,43.0,6.0,4.1,15,50,65,12.0,0.402555910543131,0.549520766773163,0.07667731629392971
Black-Eyed Pea Soup,Soul Food,416.0,20.0,32.0,26.0,4.8,15,60,75,8.0,0.4326923076923077,0.3076923076923077,0.25
German Apple Cake,German,201.0,10.0,28.0,2.0,4.8,15,45,60,24.0,0.44776119402985076,0.5572139303482587,0.03980099502487562
Traditional Russian Pirozhki,Russian,134.0,3.0,21.0,5.0,4.5,30,20,110,30.0,0.20149253731343283,0.6268656716417911,0.14925373134328357
Indian Saffron Rice,Indian,154.0,4.0,26.0,3.0,4.4,5,20,25,6.0,0.23376623376623376,0.6753246753246753,0.07792207792207792
