name,country,calories,fat,carbs,protein,avg_rating,prep_time,cook_time,total_time,servings,pct_fat,pct_carbs,pct_protein
Vietnamese Chicken Salad,Vietnamese,303.0,18.0,19.0,19.0,4.6,30,0,30,4.0,0.5346534653465347,0.2508250825082508,0.2508250825082508
Refreshing Brazilian Lemonade,Brazilian,145.0,3.0,28.0,3.0,4.8,10,0,10,6.0,0.18620689655172415,0.7724137931034483,0.08275862068965517
Chewy Coconut Bibingka (Filipino Rice Cake),Filipino,304.0,10.0,50.0,4.0,4.4,15,45,80,24.0,0.29605263157894735,0.6578947368421053,0.05263157894736842
Feijoada Nordestino (Northeastern Brazilian Black Bean Stew),Brazilian,467.0,12.0,77.0,12.0,5.0,30,75,110,6.0,0.23126338329764454,0.6595289079229122,0.10278372591006424
3-Ingredient Lemon Scones,Australian and New Zealander,190.0,8.0,26.0,4.0,4.1,10,10,20,12.0,0.37894736842105264,0.5473684210526316,0.08421052631578947
Chef John's Brazilian Fish Stew,Brazilian,399.0,19.0,33.0,26.0,4.9,12,20,32,6.0,0.42857142857142855,0.3308270676691729,0.2606516290726817
Labneh (Lebanese Yogurt),Lebanese,75.0,7.0,1.0,2.0,4.8,10,0,10,12.0,0.84,0.05333333333333334,0.10666666666666667
Sea Bass à la Michele,Spanish,561.0,19.0,51.0,47.0,4.8,15,20,35,2.0,0.3048128342245989,0.36363636363636365,0.33511586452762926
Chilean-Style Sopaipillas,Chilean,286.0,14.0,36.0,5.0,4.8,20,25,60,12.0,0.4405594405594406,0.5034965034965035,0.06993006993006994
Aunt Gun-Marie's Waffles,Swedish,288.0,15.0,31.0,7.0,4.8,15,15,40,6.0,0.46875,0.4305555555555556,0.09722222222222222
Amish Brown Sugar Cake,Amish and Mennonite,254.0,10.0,39.0,3.0,3.0,15,35,50,18.0,0.3543307086614173,0.6141732283464567,0.047244094488188976
Filipino Ribs,Filipino,773.0,59.0,19.0,39.0,4.6,15,105,120,12.0,0.6869340232858991,0.09831824062095731,0.2018111254851229
Greek Turkey Meatballs,Greek,473.0,32.0,13.0,35.0,4.8,20,10,30,4.0,0.6088794926004228,0.10993657505285412,0.2959830866807611
Russian Syrniki,Russian,186.0,7.0,19.0,11.0,3.9,10,8,18,4.0,0.3387096774193548,0.40860215053763443,0.23655913978494625
Pakistani-Style Roast Chicken Thighs,Pakistani,262.0,18.0,6.0,20.0,4.3,15,45,300,8.0,0.6183206106870229,0.0916030534351145,0.3053435114503817
Menemen,Turkish,220.0,16.0,9.0,12.0,4.7,10,15,25,2.0,0.6545454545454545,0.16363636363636364,0.21818181818181817
Creamy Cajun Potato Soup,Cajun and Creole,620.0,43.0,43.0,16.0,5.0,15,30,45,6.0,0.6241935483870967,0.27741935483870966,0.1032258064516129
Fondant Potatoes,French,239.0,11.0,34.0,4.0,4.7,15,40,65,6.0,0.41422594142259417,0.5690376569037657,0.06694560669456066
Scandinavian Almond Bars,Scandinavian,68.0,3.0,10.0,1.0,4.7,10,10,30,48.0,0.39705882352941174,0.5882352941176471,0.058823529411764705
Down Home Chitterlings,Soul Food,312.0,27.0,1.0,17.0,4.7,60,180,240,12.0,0.7788461538461539,0.01282051282051282,0.21794871794871795
Sweet Cornmeal Cake Brazilian-Style,Brazilian,508.0,18.0,79.0,8.0,4.5,10,30,40,8.0,0.3188976377952756,0.6220472440944882,0.06299212598425197
Sesame-Seared Tuna,Japanese,422.0,21.0,13.0,44.0,4.7,10,1,11,4.0,0.44786729857819907,0.12322274881516587,0.41706161137440756
Aunt Louise's Baked Kibbeh,Lebanese,364.0,23.0,16.0,23.0,5.0,30,45,105,8.0,0.5686813186813187,0.17582417582417584,0.25274725274725274
