AGE,female,married,educ_cat,faminc_mid,metro_binary,race_cat,us_citizen,has_children,insured,OCC,IND,INCWAGE,FIRMSIZE,NCHILD,YEAR,STATEFIP,worker_cat,employed
30,0,1,4,200000,1,White,1,1,1,51,6480,55000,2,2,2020,33,Private for-profit,1
24,0,0,4,45000,0,White,1,0,1,1555,6970,0,0,0,2020,50,Unemployed,0
29,0,1,4,45000,0,White,1,0,1,2001,8370,31200,7,0,2020,50,Private for-profit,1
23,1,0,4,87500,0,White,1,0,1,800,8191,85000,5,0,2020,50,Private for-profit,1
23,1,0,4,11250,0,White,1,0,1,5400,7860,13000,7,0,2020,50,Part-time,1
28,1,1,5,125000,0,White,1,1,1,2435,7860,60000,9,1,2020,50,Government,1
26,0,1,4,37500,0,White,1,0,1,2640,3875,11740,2,0,2020,50,Unemployed,0
26,1,1,4,37500,0,White,1,0,1,5400,7890,24000,2,0,2020,50,Part-time,1
28,1,0,4,32500,0,White,1,0,1,5240,1691,32000,1,0,2020,50,Part-time,1
28,0,0,4,125000,0,White,1,0,1,725,6480,601,8,0,2020,50,Private for-profit,1
27,1,0,4,125000,0,White,1,0,1,1840,9470,54080,9,0,2020,50,Government,1
28,0,0,4,125000,0,White,1,0,1,1220,9570,56000,9,0,2020,50,Government,1
26,1,0,4,37500,0,White,1,0,1,5940,9480,45448,9,0,2020,50,Government,1
27,1,0,4,27500,0,White,1,0,1,2360,7890,22000,1,0,2020,50,Private for-profit,1
22,1,0,4,27500,0,White,1,0,1,4020,8590,18000,9,0,2020,50,Private for-profit,1
24,0,0,4,87500,0,White,1,0,1,1007,7380,70500,9,0,2020,50,Private for-profit,1
25,1,0,4,87500,0,White,1,0,1,2330,7860,43000,7,0,2020,50,Government,1
22,0,0,4,125000,0,White,1,0,1,9005,6380,80000,9,0,2020,50,Private for-profit,1
30,1,1,5,200000,0,White,1,0,1,3050,5070,125000,9,0,2020,50,Private for-profit,1
28,1,1,4,87500,0,White,1,0,1,520,5275,55000,9,0,2020,50,Private for-profit,1
28,1,0,4,55000,0,White,1,0,1,2300,8470,41000,9,0,2020,50,Government,1
30,1,1,4,67500,0,White,1,0,1,2300,8470,32500,2,0,2020,50,Private for-profit,1
29,0,1,4,125000,0,White,1,0,1,6660,7290,160000,9,0,2020,50,Part-time,1
24,0,0,4,125000,0,White,1,0,1,4760,5580,30000,9,0,2020,50,Private for-profit,1
25,1,0,5,87500,0,White,1,0,1,1825,7860,35000,1,0,2020,50,Government,1
25,0,0,4,87500,0,White,1,0,1,4251,7770,35000,1,0,2020,50,Private for-profit,1
28,1,0,5,87500,0,White,1,0,1,2310,7860,49500,9,0,2020,50,Government,1
28,1,0,4,37500,0,White,1,0,1,1610,9490,32000,9,0,2020,50,Government,1
26,0,1,4,200000,0,White,1,0,1,1430,3380,81000,9,0,2020,50,Private for-profit,1
26,1,1,5,200000,0,White,1,0,1,7700,3380,89000,9,0,2020,50,Private for-profit,1
30,1,0,4,87500,0,White,1,0,1,5940,8191,30000,5,0,2020,50,Private for-profit,1
25,1,1,4,200000,1,White,1,0,1,5120,8680,23000,9,0,2020,50,Private for-profit,1
28,1,0,4,32500,1,Black,1,0,1,3645,8191,30000,2,0,2020,50,Private for-profit,1
27,1,1,4,200000,1,White,1,0,1,440,6370,70000,9,0,2020,50,Government,1
30,0,1,4,200000,1,White,1,0,1,565,6290,83000,7,0,2020,50,Government,1
